出願番号,出願日,発明の名称,要約,請求の範囲,出願人,発明者,IPC,ステータス
特願2023-100763,2023/11/07,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,蒼海自動車,林 由美;林 浩二;森 香織,H01M10/0585;H01M4/04,審査中
特願2016-100014,2016/11/19,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,蒼海自動車,鈴木 修平;鈴木 拓也;中村 香織,C01B17/22;H01M10/0562,登録
特願2022-100514,2022/04/12,複合正極合材及びその製造方法,本発明は、複合正極合材に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,北斗モータース,山本 裕子;鈴木 健一;林 真一,H01M10/0562;H01M4/62,公開
特願2020-100805,2020/08/14,バイポーラ型全固体電池及びその製造方法,本発明は、バイポーラ型全固体電池に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,燕岳鉱業,森 大輔;木村 浩二;小林 太郎,H01M50/20;H01M50/509,登録
特願2016-100829,2016/08/11,電池モジュール筐体及びその製造方法,本発明は、電池モジュール筐体に関する。従来技術では端子部の接触抵抗が大きいという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電池モジュール筐体を備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,九曜電子,吉田 恵;田中 真一,H01M50/509,拒絶
特願2022-100568,2022/12/04,リチウム金属負極及びその製造方法,本発明は、リチウム金属負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム金属負極を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,北斗モータース,木村 健一,H01M10/052;H01M4/134,公開
特願2024-100629,2024/06/13,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,常盤田精機,森 大輔;吉田 裕子;吉田 修平,H01M10/052;H01M4/38,公開
特願2024-100557,2024/07/02,リチウム析出制御層及びその製造方法,本発明は、リチウム析出制御層に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,瀬戸内硝子,清水 誠;渡辺 恵,H01M4/134;H01M4/38,審査中
特願2021-100618,2021/10/04,リチウム金属負極を用いた全固体電池,本発明は、リチウム金属負極に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム金属負極を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,蒼海自動車,加藤 拓也,H01M10/052;H01M4/38,登録
特願2019-100676,2019/01/11,加圧焼結積層工程及びその製造方法,本発明は、加圧焼結積層工程に関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、等方加圧により積層界面を密着させることにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,白樺電工,中村 亮;伊藤 裕子,B32B37/00;H01M10/0585,審査中
